id,name,city,score,number_of_products
2490,کالاتام,تهران,5,34
2491,هماتلکام,تهران,5,56
2492,توجیبت,تهران,5,38
2493,کرال فون,تهران,5,18
2494,رایان ویستا,تهران,5,57
2495,کاج بی,تبریز,5,30
2496,اردبیل موبایل,اردبیل,5,25
2497,کرال سنتر,تهران,5,8
2498,تک سل,اصفهان,5,58
2499,شیانچی,تهران,5,21
2500,نيوا مال,جهرم,5,53
2501,اوبو,تهران,5,76
2502,مایکروتل پلاس,تهران,5,17
2503,کالابالا,اهواز,5,46
2504,آرین همراه,,5,46
2505,لندیکا,مشهد,4,21
2506,موبایلتو,سایر,5,40
2507,علی فافا,کاشمر,5,76
2508,روژال,قزوین,5,48
2509,تماس مارکت,کرمان,5,35
2510,محاسب کالا,تهران,5,16
2511,پارس نوین مدیا,تهران,5,29
2512,آلفاتل,تهران,5,38
2513,قصرموبایل,,5,34
2514,سامسونگ تل,تهران,5,24
2515,اعتبارکالا,تهران,5,48
2516,موبوسام,کرمان,5,22
2517,توتار کالا,اردبیل,5,35
2518,موبایل‌آباد,تهران,5,24
2519,سام موبایل,تهران,5,77
2520,سامسونگ سنتر,تهران,5,40
2521,شوبین,تهران,5,14
2522,کامپیوتر سورس,شیراز,5,59
2523,لیپارشاپ,چابهار,5,39
2524,تی گنج,جوانرود,5,35
2525,ایران گلکسی,تبریز,5,43
2526,کالا گاما,تهران,5,42
2527,نایاکالا,تهران,5,27
2528,بهگو,ارومیه,5,35
2529,آریا تکنو,تهران,5,51
2530,ایگرد,تهران,5,8
2531,موبایل جو,تهران,5,0
2532,سی تلکام,تهران,5,10
2533,سنباد لند,تهران,5,42
2534,بهینه مارکت,تهران,5,60
2535,دیجیکالینو,تهران,5,14
2536,پارسکالا,سبزوار,5,2
2537,آی‌زی,شیراز,5,45
2538,نادین استور,اصفهان,5,10
2539,سه راه نت,تهران,5,29
2540,تاچارا آی تی,بجنورد,5,14
2541,میتاپ,تهران,5,26
2542,هماتل | Homatell,قم,5,26
2543,ریکسوشاپ,تهران,5,65
2544,ماراواکالا,مراغه,5,17
2545,آف کادو,شیراز,5,45
2546,ایلیا سیستم,تهران,5,6
2547,ای اند ای آی آر,تهران,5,16
2548,همراه تجارت سازگار,,5,39
2549,آبی سل,اصفهان,5,30
2550,زود بخر,,5,13
2551,اسپیناس موبایل,تهران,5,50
2552,ست لوکس,تهران,5,27
2553,بازار پی میشه,تهران,5,30
2554,آلین لند,تهران,5,101
2555,نظام آوران,شیراز,5,44
2556,رایانه همراه پویا,مشهد,5,66
2557,آترامارکت,تهران,5,24
2558,بهارفون,,5,47
2559,کالادات,تهران,4,41
2560,موبو30,تبریز,5,41
2561,تلکام,تهران,5,85
2562,روژمارکت,بوکان,5,11
2563,ویحکالا,تهران,5,35
2564,های بای,تهران,5,30
2565,پرساشاپ,کرج,5,8
2566,ویوتل,تهران,5,28
2567,تامین پیشرو شار,تهران,5,41
2568,فروشگاه 222,تهران,5,62
2569,آوا,ارومیه,5,28
2570,ریحانه استور,قائم شهر,5,47
2571,تک اسمارت,سراب,5,18
2572,بانه دات کام,بانه,5,58
2573,خانه نوکیای لاهیجان,لاهیجان,5,43
2574,وینتل,اصفهان,5,45
2575,اکسیر همراه ارتباط ایرانیان,,5,55
2576,امکان,تهران,5,28
2577,آمافون,تهران,5,37
2578,نهال فروشگاه,کازرون,5,28
2579,رضوان,شهریار,5,15
2580,ایرانیزون,تهران,5,8
2581,هزارچی,تنکابن,5,16
2582,سی تل موبایل,خمیر,5,12
2583,بورسیکا,تهران,5,30
2584,گیمیلو,کرج,5,9
2585,مارال کیش,تهران,5,17
2586,مکران موبایل,,5,34
2587,زمان و زیور,تهران,5,7
2588,رزمی آنلاین,تبریز,5,29
2589,آی آر مال,تهران,5,57
2590,آسون دیجیتال,تبریز,5,49
2591,چیزشاپ,پیرانشهر,5,10
2592,هیماشاپ,پیرانشهر,5,20
2593,رایاتِک,تهران,5,18
2594,موبایل سران,مشهد,5,18
2595,هشت ایران,تبریز,5,26
2596,کامپیوتر مرکزی,شیراز,5,38
2597,کیوی استور,رشت,5,11
2598,هشتگ کالا,تهران,5,8
2599,دادبان,تهران,5,15
2600,همراه ارتباط برجی,,5,4
2601,موبوسان,شیراز,5,42
2602,آفاق سنتر,,5,34
2603,جوربازار,تهران,5,6
2604,شاپ کیس,تهران,5,22
2605,ریمووین شاپ,تهران,5,30
2606,فابریک کالا,تهران,4,50
2607,فروشگاه نیکتال,تهران,5,13
2608,الکامتل,تهران,5,10
2609,آرکا 90,کرج,5,24
2610,بازار بزرگ,تهران,5,56
2611,آفر ایران,تهران,5,12
2612,هوش برتر,تهران,5,20
2613,10 کالا,تهران,5,37
2614,دکونزو,بیرجند,5,1
2615,جالبو,شیراز,5,11
2616,موبوبای,سنندج,5,5
2617,دونیل پی سی,شیراز,5,51
2618,ندای سبز ایران,شیراز,5,12
2619,جی تی موبایل,مرند,5,9
2620,فون امداد,شیراز,5,21
2621,هانیس شاپ,پیرانشهر,4,2
2622,آنلاین پاساژ,شیراز,5,58
2623,کالیلند,تهران,5,33
2624,ایمان گالری,تهران,5,5
2625,ای دی جی مارکت,شیراز,5,18
2626,برند موبایل,شیراز,5,55
2627,بالاکا,رشت,5,9
2628,گیل سرا,رشت,5,50
2629,دیس مارکت,زنجان,4,22
2630,گوشی آنلاین,تهران,5,22
2631,خرید سلام,تهران,5,6
2632,هد هد آی تی,تهران,5,10
2633,کامتل شاپ,تهران,5,37
2634,موبینو,کرج,5,36
2635,دی جی لند,تهران,5,59
2636,تلکیت,تهران,5,2
2637,کپ‌کیت,تهران,5,38
2638,عرفان رایانه,رشت,5,46
2639,دیکالند,دورود,5,6
2640,تپ تیک,مشهد,5,19
2641,گوشی سنتر,بوکان,5,57
2642,نوتالی,اردبیل,5,1
2643,نیما,تهران,5,19
2644,آمیتیس,تهران,5,37
2645,آسون تک,تبریز,5,8
2646,پایتخت136,تهران,5,30
2647,موبایل کمک,تهران,4,31
2648,موبایل سایتا,مشهد,5,8
2649,اطلس دیجی,اصفهان,5,48
2650,سرزمین موبایل اهواز,اهواز,5,32
