id,name,price,count_of_merchant,url_address
34407,گوشی شیائومی Poco X3 Pro حافظه 256 رم 8 گیگابایت,4780000,124,http://torob.com/p/cb339564-724b-4465-b507-7a39fbc99c0d/گوشی شیائومی Poco X3 Pro حافظه 256 رم 8 گیگابایت
34408,گوشی سامسونگ A51 حافظه 128 رم 6 گیگابایت,5310000,144,http://torob.com/p/4bc3772f-cc7d-410a-b858-bc18c6e6abaf/گوشی سامسونگ A51 حافظه 128 رم 6 گیگابایت
34409,گوشی سامسونگ A32  حافظه 128 رم 6 گیگابایت,4937400,139,http://torob.com/p/efea46ec-17d5-40d2-b481-82d2cf45ef26/گوشی سامسونگ A32  حافظه 128 رم 6 گیگابایت
34410,گوشی سامسونگ A21s حافظه 64 رم 4 گیگابایت,3468000,163,http://torob.com/p/cee25ab7-8019-4599-b2ad-76e7999115d4/گوشی سامسونگ A21s حافظه 64 رم 4 گیگابایت
34411,گوشی شیائومی Poco M3 حافظه 128 رم 4 گیگابایت,3780000,117,http://torob.com/p/a2b731c0-49a1-4646-92e1-9be4de4c37e7/گوشی شیائومی Poco M3 حافظه 128 رم 4 گیگابایت
34412,گوشی شیائومی Redmi Note 10 حافظه 128 رم 6 گیگابایت,5030000,83,http://torob.com/p/36497069-d1c9-463f-a1a2-94ac049351d4/گوشی شیائومی Redmi Note 10 حافظه 128 رم 6 گیگابایت
34413,گوشی شیائومی Poco X3 Pro حافظه 128 رم 6 گیگابایت,5810000,120,http://torob.com/p/7e77eb0b-fb7c-43ca-82e8-ac2d95cbb5ab/گوشی شیائومی Poco X3 Pro حافظه 128 رم 6 گیگابایت
34414,گوشی سامسونگ A12 حافظه 64 رم 4 گیگابایت,3569000,166,http://torob.com/p/33f16613-2778-4693-ae79-ecba356c1727/گوشی سامسونگ A12 حافظه 64 رم 4 گیگابایت
34415,گوشی شیائومی Redmi Note 8 Pro حافظه 128 رم 6 گیگابایت,5079000,112,http://torob.com/p/139bac39-668a-4624-833f-20270cc5a694/گوشی شیائومی Redmi Note 8 Pro حافظه 128 رم 6 گیگابایت
34416,گوشی اپل آیفون 12 Pro Max حافظه 256 رم 6 گیگابایت,35700000,108,http://torob.com/p/f902c318-4aae-422e-b5ff-a3da4158f485/گوشی اپل آیفون 12 Pro Max حافظه 256 رم 6 گیگابایت
34417,گوشی سامسونگ A72 حافظه 256 رم 8 گیگابایت,10137400,78,http://torob.com/p/227bea64-7e6b-485c-870e-c5e85d28d87a/گوشی سامسونگ A72 حافظه 256 رم 8 گیگابایت
34418,گوشی شیائومی Redmi 9 حافظه 64 رم 4 گیگابایت,3298000,56,http://torob.com/p/53ee4b7d-2f0d-4145-944e-70677b352b87/گوشی شیائومی Redmi 9 حافظه 64 رم 4 گیگابایت
34419,گوشی سامسونگ A12 حافظه 128 رم 4 گیگابایت,3830000,107,http://torob.com/p/9107a911-955d-4b5b-9d46-e19287876a41/گوشی سامسونگ A12 حافظه 128 رم 4 گیگابایت
